--Location
INSERT INTO Location (pincode, state) VALUES
    ('380001', 'Gujarat'),
    ('380002', 'Gujarat'),
    ('380003', 'Gujarat'),
    ('380004', 'Gujarat'),
    ('380005', 'Gujarat'),
    ('380006', 'Gujarat'),
    ('380007', 'Gujarat'),
    ('380008', 'Gujarat'),
    ('380009', 'Gujarat'),
    ('380010', 'Gujarat'),
    ('400001', 'Maharashtra'),
    ('400002', 'Maharashtra'),
    ('400003', 'Maharashtra'),
    ('400004', 'Maharashtra'),
    ('400005', 'Maharashtra'),
    ('400006', 'Maharashtra'),
    ('400007', 'Maharashtra'),
    ('400008', 'Maharashtra'),
    ('400009', 'Maharashtra'),
    ('400010', 'Maharashtra'),
    ('110001', 'Delhi'),
    ('110002', 'Delhi'),
    ('110003', 'Delhi'),
    ('110004', 'Delhi'),
    ('110005', 'Delhi'),
    ('110006', 'Delhi'),
    ('110007', 'Delhi'),
    ('110008', 'Delhi'),
    ('110009', 'Delhi'),
    ('110010', 'Delhi'),
    ('700001', 'West Bengal'),
    ('700002', 'West Bengal'),
    ('700003', 'West Bengal'),
    ('700004', 'West Bengal'),
    ('700005', 'West Bengal'),
    ('700006', 'West Bengal'),
    ('700007', 'West Bengal'),
    ('700008', 'West Bengal'),
    ('700009', 'West Bengal'),
    ('700010', 'West Bengal'),
    ('302001', 'Rajasthan'),
    ('302002', 'Rajasthan'),
    ('302003', 'Rajasthan'),
    ('302004', 'Rajasthan'),
    ('302005', 'Rajasthan'),
    ('302006', 'Rajasthan'),
    ('302007', 'Rajasthan'),
    ('302008', 'Rajasthan'),
    ('302009', 'Rajasthan'),
    ('302010', 'Rajasthan');

--Charity
INSERT INTO Charity (charity_id, charity_name, pincode) VALUES 
('SSCWB00108', 'CWB001', 'Tina Sen'),
('SSCWB00109', 'CWB001', 'Sayan Mukherjee'),
('SSCWB00110', 'CWB001', 'Suman Dey');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES 
('PR001', 'CWB002', 'Riya Chatterjee'),
('PR002', 'CWB002', 'Sourav Dey'),
('PR003', 'CWB002', 'Ananya Chakraborty'),
('PR004', 'CWB002', 'Debajyoti Basu'),
('PR005', 'CWB002', 'Shruti Sharma'),
('PR006', 'CWB002', 'Argha Chatterjee'),
('PR007', 'CWB002', 'Rahul Gupta'),
('PR008', 'CWB002', 'Poulami Das'),
('PR009', 'CWB002', 'Abhinav Sarkar'),
('PR010', 'CWB002', 'Jasmine Khan');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES 
('SP001', 'CWB003', 'Suman Das'),
('SP002', 'CWB003', 'Sudipta Datta'),
('SP003', 'CWB003', 'Rajdeep Dasgupta'),
('SP004', 'CWB003', 'Anindya Saha'),
('SP005', 'CWB003', 'Priya Basu'),
('SP006', 'CWB003', 'Rituparna Ghosh'),
('SP007', 'CWB003', 'Abhishek Bose'),
('SP008', 'CWB003', 'Ishita Das'),
('SP009', 'CWB003', 'Soumyadip Mukherjee'),
('SP010', 'CWB003', 'Sudipto Chatterjee');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES 
('AS001', 'CRA001', 'Kriti Gupta'),
('AS002', 'CRA001', 'Ankit Singh'),
('AS003', 'CRA001', 'Amita Sharma'),
('AS004', 'CRA001', 'Manish Gupta'),
('AS005', 'CRA001', 'Sangeeta Yadav'),
('AS006', 'CRA001', 'Vikas Kumar'),
('AS007', 'CRA001', 'Rashmi Singh'),
('AS008', 'CRA001', 'Sachin Sharma'),
('AS009', 'CRA001', 'Anamika Singh'),
('AS010', 'CRA001', 'Rohit Jain');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES 
('UD001', 'CRA002', 'Anjali Sharma'),
('UD002', 'CRA002', 'Ravi Singh'),
('UD003', 'CRA002', 'Aditi Sinha'),
('UD004', 'CRA002', 'Anand Gupta'),
('UD005', 'CRA002', 'Akash Verma'),
('UD006', 'CRA002', 'Priya Singh'),
('UD007', 'CRA002', 'Manoj Kumar'),
('UD008', 'CRA002', 'Nidhi Yadav'),
('UD009', 'CRA002', 'Ashish Singh'),
('UD010', 'CRA002', 'Surbhi Sharma');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES 
('CRA003E001', 'CRA003', 'Rahul Sharma'),
('CRA003E002', 'CRA003', 'Priya Singh'),
('CRA003E003', 'CRA003', 'Alok Gupta'),
('CRA003E004', 'CRA003', 'Ritu Patel'),
('CRA003E005', 'CRA003', 'Suresh Menon'),
('CRA003E006', 'CRA003', 'Anjali Saxena'),
('CRA003E007', 'CRA003', 'Kiran Desai'),
('CRA003E008', 'CRA003', 'Amita Pandey'),
('CRA003E009', 'CRA003', 'Rohit Shah'),
('CRA003E010', 'CRA003', 'Deepak Singh');





--Donor


INSERT INTO Donor (donor_name, pincode, aadharcard_no) VALUES
    ('Rahul', '380001', 123456789012),
    ('Sneha', '380002', 234567890123),
    ('Nikhil', '380003', 345678901234),
    ('Komal', '380004', 456789012345),
    ('Vishal', '380005', 567890123456),
    ('Preeti', '380006', 678901234567),
    ('Mayank', '380007', 789012345678),
    ('Swati', '380008', 890123456789),
    ('Ravi', '380009', 901234567890),
    ('Amit', '380010', 112345678901);


INSERT INTO Donor (donor_name, pincode, aadharcard_no) VALUES
    ('Shruti', '400001', 223456789012),
    ('Ankit', '400002', 334567890123),
    ('Parth', '400003', 445678901234),
    ('Kavya', '400004', 556789012345),
    ('Yash', '400005', 667890123456),
    ('Dhruv', '400006', 778901234567),
    ('Neha', '400007', 889012345678),
    ('Riya', '400008', 990123456789),
    ('Kunal', '400009', 111111111188),
    ('Aditya', '400010', 222222222212);

INSERT INTO Donor (donor_name, pincode, aadharcard_no) VALUES
    ('Saurabh', '110001', 333337890123),
    ('Prachi', '110002', 333338901234),
    ('Arjun', '110003', 333339012345),
    ('Amit', '110004', 333330123456),
    ('Raj', '110005', 333331234567),
    ('Suman', '110006', 333332345678),
    ('Kapil', '110007', 333333456789),
    ('Varun', '110008', 333335678901),
    ('Aryan', '110009', 333336789012),
    ('Manisha', '110010', 333337800123);


INSERT INTO Donor (donor_name, pincode, aadharcard_no) VALUES
    ('Priyanka', '700001', 445678904444),
    ('Abhishek', '700002', 556789014444),
    ('Shivani', '700003', 667890124444),
    ('Aakash', '700004', 778901234444),
    ('Ankita', '700005', 889012344444),
    ('Rahul', '700006', 990123454444),
    ('Pooja', '700007', 112345674444),
    ('Aditi', '700008', 223456784444),
    ('Anjali', '700009', 334567894444),
    ('Harsh', '700010', 445678444444);

INSERT INTO Donor (donor_name, pincode, aadharcard_no) VALUES
   
    ('Anil Joshi', '302003', 88292012001),
    ('Shreya Parekh', '302001', 882920120002),
    ('Vivek Gupta', '302009', 882920345003),
    ('Neha Verma', '302008', 882920456004),
    ('Rohit Singh', '302010', 882920567005),
    ('Arun Patel', '302005', 882920890006),
    ('Pooja Sharma', '302002', 99292880007),
    ('Ankit Gupta', '302006', 882920901008),
    ('Sanjay Singh', '302004', 882920012009),
    ('Riya Mehta', '302007', 88292023010),
    ('Amita Joshi', '302003', 88292034011),
    ('Rahul Parekh', '302001', 882920345012),
    ('Sachin Gupta', '302009', 882920456013),
    ('Nidhi Verma', '302008', 882920567014),
    ('Saurabh Singh', '302010', 882920789015);
   





--Charity_contact


INSERT INTO Charity_contact (charity_id, contact_no) VALUES 
('CGJ001', 7925890214),
('CGJ001', 7925890215),
('CGJ002', 7925890216),
('CGJ002', 7925890217),
('CGJ002', 7925890218),
('CGJ003', 7925890219),
('CGJ003', 7925890220),
('CMH001', 2265890214),
('CMH001', 2265890215),
('CMH002', 2265890216),
('CMH002', 2265890217),
('CMH002', 2265890218),
('CMH003', 2265890219),
('CMH003', 2265890220),
('CDL001', 1125890214),
('CDL001', 1125890215),
('CDL002', 1125890216),
('CDL002', 1125890217),
('CDL003', 1125890218),
('CWB001', 3325890219),
('CWB001', 3325890220),
('CWB002', 3325890214),
('CWB002', 3325890215),
('CWB002', 3325890216),
('CWB003', 3325890217),
('CWB003', 3325890218),
('CRA001', 1415890219),
('CRA002', 1415890220),
('CRA002', 1415890214),
('CRA003', 1415890215),
('CRA003', 1415890216);



-- Trustee
INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Aarav Patel', 'CGJ001T01', 'CGJ001'),
       ('Neha Shah', 'CGJ001T02', 'CGJ001');

INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Ananya Singh', 'CGJ002T01', 'CGJ002'),
       ('Amit Choudhary', 'CGJ002T02', 'CGJ002'),
       ('Rajeev Kumar', 'CGJ002T03', 'CGJ002');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Kavya Gupta', 'CGJ003T01', 'CGJ003'),
       ('Ishaan Joshi', 'CGJ003T02', 'CGJ003'),
       ('Sneha Desai', 'CGJ003T03', 'CGJ003');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Shreya Singh', 'CMH001T01', 'CMH001');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Rohan Shah', 'CMH002T01', 'CMH002'),
       ('Pooja Mehta', 'CMH002T02', 'CMH002');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Nehal Singh', 'CMH003T01', 'CMH003'),
       ('Arjun Desai', 'CMH003T02', 'CMH003'),
       ('Divya Patel', 'CMH003T03', 'CMH003');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Aarav Singh', 'CDL001T01', 'CDL001');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Anjali Desai', 'CDL002T01', 'CDL002'),
       ('Raj Gupta', 'CDL002T02', 'CDL002');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Sneha Patel', 'CDL003T01', 'CDL003'),
       ('Karan Mehta', 'CDL003T02', 'CDL003'),
       ('Priya Sharma', 'CDL003T03', 'CDL003');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Amit Singh', 'CWB001T01', 'CWB001'),
       ('Aarti Patel', 'CWB001T02', 'CWB001');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Akash Gupta', 'CWB002T01', 'CWB002'),
       ('Priyanka Shah', 'CWB002T02', 'CWB002'),
       ('Rishi Mehta', 'CWB002T03', 'CWB002');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Aditi Singh', 'CWB003T01','CWB003');



INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Suresh Menon', 'CRA001T01', 'CRA001'),
       ('Divya Sharma', 'CRA001T02', 'CRA001'),
       ('Kartik Patel', 'CRA001T03', 'CRA001');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id)
VALUES ('Nikita Desai', 'CRA002T01', 'CRA002'),
       ('Vishal Singh', 'CRA002T02', 'CRA002');


INSERT INTO Trustee (trustee_name, trustee_id, charity_id) VALUES 
       ('Rajesh Singh', 'CRA003T01', 'CRA003'),
       ('Radha Gupta', 'CRA003T03', 'CRA003');


--Employee_contact

INSERT INTO Employee_contact (employee_id, employee_mobile_no) VALUES
('CGJ001E001', 988880001),
('CGJ001E002', 988880003),
('CGJ001E002', 988880004),
('CGJ001E003', 988880005),
('CGJ001E003', 988880006),
('CGJ001E004', 988880007),
('CGJ001E004', 988880008),
('CGJ001E005', 988880009),
('CGJ001E006', 988880011),
('CGJ001E006', 988880012),
('CGJ001E007', 988880013),
('CGJ001E007', 988880014),
('CGJ001E008', 988880016),
('CGJ001E009', 988880017),
('CGJ001E010', 988880019),
('CGJ001E010', 988880020);


INSERT INTO Employee_contact (employee_id, employee_mobile_no) VALUES
('CGJ002E001', 9777700011),
('CGJ002E002', 9777700012),
('CGJ002E003', 9777700013),
('CGJ002E004', 9777700014),
('CGJ002E005', 9777700015),
('CGJ002E006', 9777700016),
('CGJ002E007', 9777700017),
('CGJ002E008', 9777700018),
('CGJ002E009', 9777700019),
('CGJ002E010', 9777700020),
('MH001E01', 9777700021),
('MH001E02', 9777700022),
('MH001E03', 9777700023),
('MH001E04', 9777700024),
('MH001E05', 9777700025),
('MH001E06', 9777700026),
('MH001E07', 9777700027),
('MH001E08', 9777700028),
('MH001E09', 9777700029),
('MH001E10', 9777700030),
('MH002E01', 9777700031),
('MH002E02', 9777700032),
('MH002E03', 9777700033),
('MH002E04', 9777700034),
('MH002E05', 9777700035),
('MH002E06', 9777700036),
('MH002E07', 9777700037),
('MH002E08', 9777700038),
('MH002E09', 9777700039),
('MH002E10', 9777700040);

INSERT INTO Employee_contact (employee_id, employee_mobile_no) VALUES
('MH003E01', 9666600011),
('MH003E01', 9666600022),
('MH003E02', 9666600033),
('MH003E02', 9666600044),
('MH003E03', 9666600055),
('MH003E03', 9666600066),
('MH003E04', 9666600077),
('MH003E04', 9666600088),
('MH003E05', 9666600099),
('MH003E05', 9666600100),
('MH003E06', 9666600111),
('MH003E06', 9666600122),
('MH003E07', 9666600133),
('MH003E07', 9666600144),
('MH003E08', 9666600155),
('MH003E08', 9666600166),
('MH003E09', 9666600177),
('MH003E09', 9666600188),
('MH003E10', 9666600199),
('MH003E10', 9666600200),
('DL001E01', 9666600211),
('DL001E01', 9666600222),
('DL001E02', 9666600233),
('DL001E02', 9666600244),
('DL001E03', 9666600255),
('DL001E03', 9666600266),
('DL001E04', 9666600277),
('DL001E04', 9666600288),
('DL001E05', 9666600299),
('DL001E05', 9666600300),
('DL001E06', 9666600311),
('DL001E06', 9666600322),
('DL001E07', 9666600333),
('DL001E07', 9666600344),
('DL001E08', 9666600355),
('DL001E08', 9666600366),
('DL001E09', 9666600377),
('DL001E09', 9666600388),
('DL001E10', 9666600399),
('DL001E10', 9666600400),
('HFC00201', 9666600411),
('HFC00201', 9666600422),
('HFC00202', 9666600433),
('HFC00202', 9666600444),
('HFC00203', 9666600455),
('HFC00203', 9666600466),
('HFC00204', 9666600477),
('HFC00204', 9666600488),
('HFC00205', 9666600499),
('HFC00205', 9666600500),
('HFC00206', 9666600511),
('HFC00206', 9666600522),
('HFC00207', 9666600533),
('HFC00207', 9666600544),
('HFC00208', 9666600555),
('HFC00208', 9666600566),
('HFC00209', 9666600577),
('HFC00209', 9666600588),
('HFC00210', 9666600599),
('HFC00210', 9666600600);


INSERT INTO Employee_contact (employee_id, employee_mobile_no) VALUES
('SSC00301', 955550001),
('SSC00301', 955550002),
('SSC00302', 955550003),
('SSC00302', 955550004),
('SSC00303', 955550005),
('SSC00303', 955550006),
('SSC00304', 955550007),
('SSC00304', 955550008),
('SSC00305', 955550009),
('SSC00305', 955550010),
('SSC00306', 955550011),
('SSC00306', 955550012),
('SSC00307', 955550013),
('SSC00307', 955550014),
('SSC00308', 955550015),
('SSC00308', 955550016),
('SSC00309', 955550017),
('SSC00309', 955550018),
('SSC00310', 955550019),
('SSC00310', 955550020),
('SSCWB00101', 955500001),
('SSCWB00101', 955500002),
('SSCWB00102', 955500003),
('SSCWB00102', 955500004),
('SSCWB00103', 955500005),
('SSCWB00103', 955500006),
('SSCWB00104', 955580007),
('SSCWB00104', 955580008),
('SSCWB00105', 955580009),
('SSCWB00105', 955580010),
('SSCWB00106', 955580011),
('SSCWB00106', 955580012),
('SSCWB00107', 955580013),
('SSCWB00107', 955580014),
('SSCWB00108', 955580015),
('SSCWB00108', 955580016),
('SSCWB00109', 955580017),
('SSCWB00109', 955580018),
('SSCWB00110', 955580019),
('SSCWB00110', 95580020),
('PR001', 955550021),
('PR001', 955550022),
('PR002', 955550023),
('PR002', 955550024),
('PR003', 955550025),
('PR003', 955550026),
('PR004', 955550027),
('PR004', 955550028),
('PR005', 955550029),
('PR005', 955550030),
('PR006', 955550031),
('PR006', 955550032),
('PR007', 955550033),
('PR007', 955550034),
('PR008', 955550035),
('PR008', 955550036),
('PR009', 955550037),
('PR009', 955550038),
('PR010', 955550039),
('PR010', 955550040),
('SP001', 988880021),
('SP001', 988880022),
('SP002', 988880023),
('SP002', 988880024),
('SP003', 988880025),
('SP003', 988880026),
('SP004', 988880027),
('SP004', 988880028),
('SP005', 988880029),
('SP005', 988880030),
('SP006', 988880031),
('SP006', 988880032),
('SP007', 988880033),
('SP008', 988880034),
('SP009', 988880035),
('SP010', 988880036);

INSERT INTO Employee_contact (employee_id, employee_mobile_no) VALUES 
('AS001', 944440001),
('AS002', 944440002),
('AS003', 944440003),
('AS004', 944440004),
('AS005', 944440005),
('AS006', 944440006),
('AS007', 944440007),
('AS008', 944440008),
('AS009', 944440009),
('AS010', 944440010),
('UD001', 944440011),
('UD002', 944440012),
('UD003', 944440013),
('UD004', 944440014),
('UD005', 944440015),
('UD006', 944440016),
('UD007', 944440017),
('UD008', 944440018),
('UD009', 944440019),
('UD010', 944440020),
('CRA003E001', 944440021),
('CRA003E002', 944440022),
('CRA003E003', 944440023),
('CRA003E004', 944440024),
('CRA003E005', 944440025),
('CRA003E006', 944440026),
('CRA003E007', 944440027),
('CRA003E008', 944440028),
('CRA003E009', 944440029),
('CRA003E010', 944440030);


--Project
INSERT INTO Project (project_id, project_name, manager_id, charity_id)
VALUES
  ('CGJ001P001', 'Education Program', 'CGJ001E001', 'CGJ001'),
  ('CGJ001P002', 'Healthcare Program', 'CGJ001E002', 'CGJ001'),
  ('CGJ001P003', 'Women Empowerment Program', 'CGJ001E003', 'CGJ001'),
  ('CGJ001P004', 'Environment Conservation Program', 'CGJ001E004', 'CGJ001'),
  ('CGJ001P005', 'Disaster Relief Program', 'CGJ001E005', 'CGJ001'),
  ('CGJ002P001', 'Rural Development Program', 'CGJ002E001', 'CGJ002'),
  ('CGJ002P002', 'Child Welfare Program', 'CGJ002E002', 'CGJ002'),
  ('CGJ002P003', 'Livelihood Program', 'CGJ002E003', 'CGJ002'),
  ('CGJ002P004', 'Community Development Program', 'CGJ002E004', 'CGJ002'),
  ('CGJ002P005', 'Human Rights Program', 'CGJ002E005', 'CGJ002'),
  ('CGJ003P001', 'Education Program', 'CGJ003E001', 'CGJ003'),
  ('CGJ003P002', 'Healthcare Program', 'CGJ003E002', 'CGJ003'),
  ('CGJ003P003', 'Women Empowerment Program', 'CGJ003E003', 'CGJ003'),
  ('CGJ003P004', 'Environment Conservation Program', 'CGJ003E004', 'CGJ003'),
  ('CGJ003P005', 'Disaster Relief Program', 'CGJ003E005', 'CGJ003');

INSERT INTO Project (project_id, project_name, manager_id, charity_id)
VALUES 
('CMH001P001', 'Sahyadri Education Project', 'MH001E01', 'CMH001'),
('CMH001P002', 'Kaveri Health Initiative', 'MH001E02', 'CMH001'),
('CMH001P003', 'Ganga Women Empowerment', 'MH001E03', 'CMH001'),
('CMH001P004', 'Yamuna Environmental Project', 'MH001E04', 'CMH001'),
('CMH001P005', 'Narmada Sustainable Agriculture', 'MH001E05', 'CMH001'),
('CMH002P001', 'Rajasthan Healthcare Initiative', 'MH002E01', 'CMH002'),
('CMH002P002', 'Himachal Pradesh Education Project', 'MH002E02', 'CMH002'),
('CMH002P003', 'Bihar Women Empowerment', 'MH002E03', 'CMH002'),
('CMH002P004', 'Uttar Pradesh Environmental Project', 'MH002E04', 'CMH002'),
('CMH002P005', 'Madhya Pradesh Sustainable Agriculture', 'MH002E05', 'CMH002'),
('CMH003P001', 'Maharashtra Healthcare Initiative', 'MH003E01', 'CMH003'),
('CMH003P002', 'Gujarat Education Project', 'MH003E02', 'CMH003'),
('CMH003P003', 'Goa Women Empowerment', 'MH003E03', 'CMH003'),
('CMH003P004', 'Karnataka Environmental Project', 'MH003E04', 'CMH003'),
('CMH003P005', 'Andhra Pradesh Sustainable Agriculture', 'MH003E05', 'CMH003');

INSERT INTO Project (project_id, project_name, manager_id, charity_id)
VALUES 
